Loaded test-roms/TST8080.COM to 0x0100, Size: 1536 bytes
PC: 02A4, AF: 0056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA AA 02 CD)
PC: 02AA, AF: 0056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (D6 77 D4 A0)
PC: 02AC, AF: 8983, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (D4 A0 06 EC)
PC: 02AF, AF: 8983, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (EC A0 06 F4)
PC: 02B2, AF: 8983, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (F4 A0 06 CC)
PC: 02B5, AF: 8983, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CC A0 06 FE)
PC: 02B8, AF: 8983, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 89 CA C0)
PC: 02BA, AF: 8956, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA C0 02 CD)
PC: 02C0, AF: 8956, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E6 FF E4 CD)
PC: 02C2, AF: 8992, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E4 CD 02 FE)
PC: 02CD, AF: 8992, BC: 0009, DE: 0000, HL: 0000, SP: 07BB, CYC: 0 (E8 C6 10 EC)
PC: 02CE, AF: 8992, BC: 0009, DE: 0000, HL: 0000, SP: 07BB, CYC: 0 (C6 10 EC D9)
PC: 02D0, AF: 9986, BC: 0009, DE: 0000, HL: 0000, SP: 07BB, CYC: 0 (EC D9 02 C6)
PC: 02D9, AF: 9986, BC: 0009, DE: 0000, HL: 0000, SP: 07B9, CYC: 0 (E0 C6 20 FC)
PC: 02DA, AF: 9986, BC: 0009, DE: 0000, HL: 0000, SP: 07B9, CYC: 0 (C6 20 FC E5)
PC: 02DC, AF: B982, BC: 0009, DE: 0000, HL: 0000, SP: 07B9, CYC: 0 (FC E5 02 C6)
PC: 02E5, AF: B982, BC: 0009, DE: 0000, HL: 0000, SP: 07B7, CYC: 0 (F0 C6 80 F4)
PC: 02E6, AF: B982, BC: 0009, DE: 0000, HL: 0000, SP: 07B7, CYC: 0 (C6 80 F4 F1)
PC: 02E8, AF: 3907, BC: 0009, DE: 0000, HL: 0000, SP: 07B7, CYC: 0 (F4 F1 02 C6)
PC: 02F1, AF: 3907, BC: 0009, DE: 0000, HL: 0000, SP: 07B5, CYC: 0 (F8 C6 40 D4)
PC: 02F2, AF: 3907, BC: 0009, DE: 0000, HL: 0000, SP: 07B5, CYC: 0 (C6 40 D4 FD)
PC: 02F4, AF: 7902, BC: 0009, DE: 0000, HL: 0000, SP: 07B5, CYC: 0 (D4 FD 02 C6)
PC: 02FD, AF: 7902, BC: 0009, DE: 0000, HL: 0000, SP: 07B3, CYC: 0 (D8 C6 8F DC)
PC: 02FE, AF: 7902, BC: 0009, DE: 0000, HL: 0000, SP: 07B3, CYC: 0 (C6 8F DC 09)
PC: 0300, AF: 0813, BC: 0009, DE: 0000, HL: 0000, SP: 07B3, CYC: 0 (DC 09 03 D6)
PC: 0309, AF: 0813, BC: 0009, DE: 0000, HL: 0000, SP: 07B1, CYC: 0 (D0 C6 F7 C4)
PC: 030A, AF: 0813, BC: 0009, DE: 0000, HL: 0000, SP: 07B1, CYC: 0 (C6 F7 C4 15)
PC: 030C, AF: FF86, BC: 0009, DE: 0000, HL: 0000, SP: 07B1, CYC: 0 (C4 15 03 C6)
PC: 0315, AF: FF86, BC: 0009, DE: 0000, HL: 0000, SP: 07AF, CYC: 0 (C8 C6 01 CC)
PC: 0316, AF: FF86, BC: 0009, DE: 0000, HL: 0000, SP: 07AF, CYC: 0 (C6 01 CC 21)
PC: 0318, AF: 0057, BC: 0009, DE: 0000, HL: 0000, SP: 07AF, CYC: 0 (CC 21 03 C6)
PC: 0321, AF: 0057, BC: 0009, DE: 0000, HL: 0000, SP: 07AD, CYC: 0 (C0 C6 47 FE)
PC: 0322, AF: 0057, BC: 0009, DE: 0000, HL: 0000, SP: 07AD, CYC: 0 (C6 47 FE 47)
PC: 0324, AF: 4706, BC: 0009, DE: 0000, HL: 0000, SP: 07AD, CYC: 0 (FE 47 C8 CD)
PC: 0326, AF: 4756, BC: 0009, DE: 0000, HL: 0000, SP: 07AD, CYC: 0 (C8 CD A0 06)
PC: 031B, AF: 4756, BC: 0009, DE: 0000, HL: 0000, SP: 07AF, CYC: 0 (C6 D0 C0 CD)
PC: 031D, AF: 1707, BC: 0009, DE: 0000, HL: 0000, SP: 07AF, CYC: 0 (C0 CD A0 06)
PC: 030F, AF: 1707, BC: 0009, DE: 0000, HL: 0000, SP: 07B1, CYC: 0 (C6 FE D8 CD)
PC: 0311, AF: 1513, BC: 0009, DE: 0000, HL: 0000, SP: 07B1, CYC: 0 (D8 CD A0 06)
PC: 0303, AF: 1513, BC: 0009, DE: 0000, HL: 0000, SP: 07B3, CYC: 0 (D6 02 D0 CD)
PC: 0305, AF: 1312, BC: 0009, DE: 0000, HL: 0000, SP: 07B3, CYC: 0 (D0 CD A0 06)
PC: 02F7, AF: 1312, BC: 0009, DE: 0000, HL: 0000, SP: 07B5, CYC: 0 (C6 40 F0 CD)
PC: 02F9, AF: 5306, BC: 0009, DE: 0000, HL: 0000, SP: 07B5, CYC: 0 (F0 CD A0 06)
PC: 02EB, AF: 5306, BC: 0009, DE: 0000, HL: 0000, SP: 07B7, CYC: 0 (C6 80 F8 CD)
PC: 02ED, AF: D382, BC: 0009, DE: 0000, HL: 0000, SP: 07B7, CYC: 0 (F8 CD A0 06)
PC: 02DF, AF: D382, BC: 0009, DE: 0000, HL: 0000, SP: 07B9, CYC: 0 (C6 04 E8 CD)
PC: 02E1, AF: D786, BC: 0009, DE: 0000, HL: 0000, SP: 07B9, CYC: 0 (E8 CD A0 06)
PC: 02D3, AF: D786, BC: 0009, DE: 0000, HL: 0000, SP: 07BB, CYC: 0 (C6 02 E0 CD)
PC: 02D5, AF: D982, BC: 0009, DE: 0000, HL: 0000, SP: 07BB, CYC: 0 (E0 CD A0 06)
PC: 02C5, AF: D982, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE D9 CA 2A)
PC: 02C7, AF: D956, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 2A 03 CD)
PC: 032A, AF: D956, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (3E 77 3C 47)
PC: 032C, AF: 7756, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (3C 47 04 48)
PC: 032D, AF: 7806, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (47 04 48 0D)
PC: 032E, AF: 7806, BC: 7809, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (04 48 0D 51)
PC: 032F, AF: 7802, BC: 7909, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (48 0D 51 5A)
PC: 0330, AF: 7802, BC: 7979, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (0D 51 5A 63)
PC: 0331, AF: 7816, BC: 7978, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (51 5A 63 6C)
PC: 0332, AF: 7816, BC: 7978, DE: 7800, HL: 0000, SP: 07BD, CYC: 0 (5A 63 6C 7D)
PC: 0333, AF: 7816, BC: 7978, DE: 7878, HL: 0000, SP: 07BD, CYC: 0 (63 6C 7D 3D)
PC: 0334, AF: 7816, BC: 7978, DE: 7878, HL: 7800, SP: 07BD, CYC: 0 (6C 7D 3D 4F)
PC: 0335, AF: 7816, BC: 7978, DE: 7878, HL: 7878, SP: 07BD, CYC: 0 (7D 3D 4F 59)
PC: 0336, AF: 7816, BC: 7978, DE: 7878, HL: 7878, SP: 07BD, CYC: 0 (3D 4F 59 6B)
PC: 0337, AF: 7716, BC: 7978, DE: 7878, HL: 7878, SP: 07BD, CYC: 0 (4F 59 6B 45)
PC: 0338, AF: 7716, BC: 7977, DE: 7878, HL: 7878, SP: 07BD, CYC: 0 (59 6B 45 50)
PC: 0339, AF: 7716, BC: 7977, DE: 7877, HL: 7878, SP: 07BD, CYC: 0 (6B 45 50 62)
PC: 033A, AF: 7716, BC: 7977, DE: 7877, HL: 7877, SP: 07BD, CYC: 0 (45 50 62 7C)
PC: 033B, AF: 7716, BC: 7777, DE: 7877, HL: 7877, SP: 07BD, CYC: 0 (50 62 7C 57)
PC: 033C, AF: 7716, BC: 7777, DE: 7777, HL: 7877, SP: 07BD, CYC: 0 (62 7C 57 14)
PC: 033D, AF: 7716, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (7C 57 14 6A)
PC: 033E, AF: 7716, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (57 14 6A 4D)
PC: 033F, AF: 7716, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (14 6A 4D 0C)
PC: 0340, AF: 7706, BC: 7777, DE: 7877, HL: 7777, SP: 07BD, CYC: 0 (6A 4D 0C 61)
PC: 0341, AF: 7706, BC: 7777, DE: 7877, HL: 7778, SP: 07BD, CYC: 0 (4D 0C 61 44)
PC: 0342, AF: 7706, BC: 7778, DE: 7877, HL: 7778, SP: 07BD, CYC: 0 (0C 61 44 05)
PC: 0343, AF: 7702, BC: 7779, DE: 7877, HL: 7778, SP: 07BD, CYC: 0 (61 44 05 58)
PC: 0344, AF: 7702, BC: 7779, DE: 7877, HL: 7978, SP: 07BD, CYC: 0 (44 05 58 7B)
PC: 0345, AF: 7702, BC: 7979, DE: 7877, HL: 7978, SP: 07BD, CYC: 0 (05 58 7B 5F)
PC: 0346, AF: 7716, BC: 7879, DE: 7877, HL: 7978, SP: 07BD, CYC: 0 (58 7B 5F 1C)
PC: 0347, AF: 7716, BC: 7879, DE: 7878, HL: 7978, SP: 07BD, CYC: 0 (7B 5F 1C 43)
PC: 0348, AF: 7816, BC: 7879, DE: 7878, HL: 7978, SP: 07BD, CYC: 0 (5F 1C 43 60)
PC: 0349, AF: 7816, BC: 7879, DE: 7878, HL: 7978, SP: 07BD, CYC: 0 (1C 43 60 24)
PC: 034A, AF: 7802, BC: 7879, DE: 7879, HL: 7978, SP: 07BD, CYC: 0 (43 60 24 4C)
PC: 034B, AF: 7802, BC: 7979, DE: 7879, HL: 7978, SP: 07BD, CYC: 0 (60 24 4C 69)
PC: 034C, AF: 7802, BC: 7979, DE: 7879, HL: 7978, SP: 07BD, CYC: 0 (24 4C 69 55)
PC: 034D, AF: 7802, BC: 7979, DE: 7879, HL: 7A78, SP: 07BD, CYC: 0 (4C 69 55 15)
PC: 034E, AF: 7802, BC: 797A, DE: 7879, HL: 7A78, SP: 07BD, CYC: 0 (69 55 15 7A)
PC: 034F, AF: 7802, BC: 797A, DE: 7879, HL: 7A7A, SP: 07BD, CYC: 0 (55 15 7A 67)
PC: 0350, AF: 7802, BC: 797A, DE: 7A79, HL: 7A7A, SP: 07BD, CYC: 0 (15 7A 67 25)
PC: 0351, AF: 7812, BC: 797A, DE: 7979, HL: 7A7A, SP: 07BD, CYC: 0 (7A 67 25 54)
PC: 0352, AF: 7912, BC: 797A, DE: 7979, HL: 7A7A, SP: 07BD, CYC: 0 (67 25 54 42)
PC: 0353, AF: 7912, BC: 797A, DE: 7979, HL: 797A, SP: 07BD, CYC: 0 (25 54 42 68)
PC: 0354, AF: 7916, BC: 797A, DE: 7979, HL: 787A, SP: 07BD, CYC: 0 (54 42 68 2C)
PC: 0355, AF: 7916, BC: 797A, DE: 7879, HL: 787A, SP: 07BD, CYC: 0 (42 68 2C 5D)
PC: 0356, AF: 7916, BC: 787A, DE: 7879, HL: 787A, SP: 07BD, CYC: 0 (68 2C 5D 1D)
PC: 0357, AF: 7916, BC: 787A, DE: 7879, HL: 7878, SP: 07BD, CYC: 0 (2C 5D 1D 4B)
PC: 0358, AF: 7902, BC: 787A, DE: 7879, HL: 7879, SP: 07BD, CYC: 0 (5D 1D 4B 79)
PC: 0359, AF: 7902, BC: 787A, DE: 7879, HL: 7879, SP: 07BD, CYC: 0 (1D 4B 79 6F)
PC: 035A, AF: 7916, BC: 787A, DE: 7878, HL: 7879, SP: 07BD, CYC: 0 (4B 79 6F 2D)
PC: 035B, AF: 7916, BC: 7878, DE: 7878, HL: 7879, SP: 07BD, CYC: 0 (79 6F 2D 65)
PC: 035C, AF: 7816, BC: 7878, DE: 7878, HL: 7879, SP: 07BD, CYC: 0 (6F 2D 65 5C)
